Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'ASCOLI, A', u'ITAL30') 0.0
(u'ZUCMAN, G', u'ECON133') 0.25
(u'DRISCOLL, E', u'CLASS10A') 0.0625
(u'DRISCOLL, E', u'GREEK15') 0.09375
(u'DRISCOLL, E', u'LATIN1') -0.1875
(u'LI, K', u'CHNSE102') 0.0546875
(u'LI, K', u'CHINESE100AX') -0.046875
(u'LI, K', u'CHINESEBUSINES') 0.0078125
(u'LI, K', u'CHIN112') 0.0078125
(u'LI, K', u'CH100') 0.0859375
(u'LI, K', u'CHINESE101') 0.0546875
(u'LI, K', u'CHINESE102') 0.0234375
(u'LI, K', u'CHINESE112') 0.03125
(u'LI, K', u'CHIN101') 0.0234375
